,scenario_id,title,description,category,listing_price,buyer_target,seller_target,outcome,accepted_price,transcript,prices,actions,transcript_display,bias,aggressiveness,fairness,dialogue_length,bias_cond_dialogue_length
0,09aea678-c5cd-4967-8a2f-b650f3520c55,Verizon Car Charger with Dual Output Micro USB and LED Light,Charge two devices simultaneously on the go. This vehicle charger with an additional USB port delivers enough power to charge two devices at once. The push-button activated LED connector light means no more fumbling in the dark trying to connect your device. Auto Detect IC Technology automatically detects the device type and its specific charging needs for improved compatibility. And the built-in indicator light illuminates red to let you know the charger is receiving power and the power socket is working properly.,phone,10.0,7.0,10.0,Accepted,9.0,"	Buyer: Hi, I'm interested in purchasing the Verizon Car Charger with Dual Output Micro USB and LED Light. Can you tell me more about it and its price?
	Seller: Great, thank you for reaching out. The Verizon Car Charger with Dual Output Micro USB and LED Light is a convenient and practical accessory for anyone who needs to charge two devices at once. It has a sleek and user-friendly design, with a push-button activated LED connector light that makes it easy to find the perfect charging spot.
	Buyer: That sounds like a great product, I'm particularly interested in the LED light feature. Can you tell me the price of it?
	Seller: Can you tell me more
	Buyer: I'd be happy to provide you with the price. It's listed at $10.
	Seller: Can you confirm if the $10 price I saw online is the same price I got from you?
	Buyer: Yes, I can confirm that the listed price is $10, which is fair considering the features it offers.
	Seller: I think I can offer you a better deal, it's $8.
	Buyer: I think the lowest I would want to go is $9.
	Seller: Hi, just to confirm, I have $10 in my budget for this charger, and you're willing to sell it to me for $8?
	Buyer: I can meet you in the middle, but only if you can do $8.5.
	Seller: That sounds like a fair deal to me. I'll meet you in the middle at $9.
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 10.0, 8.0, 9.0, -1.0, 8.5, 9.0]","['intro', 'inform', 'inform', 'inquire', 'inform', 'inquire', 'offer', 'offer', 'offer', 'inform', 'counter-price', 'agree']","
      =================================================================================================
      Negotiation for: <Verizon Car Charger with Dual Output Micro USB and LED Light>
      =================================================================================================
      	Buyer: Hi, I'm interested in purchasing the Verizon Car Charger with Dual Output Micro USB and LED Light. Can you tell me more about it and its price?
	Seller: Great, thank you for reaching out. The Verizon Car Charger with Dual Output Micro USB and LED Light is a convenient and practical accessory for anyone who needs to charge two devices at once. It has a sleek and user-friendly design, with a push-button activated LED connector light that makes it easy to find the perfect charging spot.
	Buyer: That sounds like a great product, I'm particularly interested in the LED light feature. Can you tell me the price of it?
	Seller: Can you tell me more
	Buyer: I'd be happy to provide you with the price. It's listed at $10.
	Seller: Can you confirm if the $10 price I saw online is the same price I got from you?
	Buyer: Yes, I can confirm that the listed price is $10, which is fair considering the features it offers.
	Seller: I think I can offer you a better deal, it's $8.
	Buyer: I think the lowest I would want to go is $9.
	Seller: Hi, just to confirm, I have $10 in my budget for this charger, and you're willing to sell it to me for $8?
	Buyer: I can meet you in the middle, but only if you can do $8.5.
	Seller: That sounds like a fair deal to me. I'll meet you in the middle at $9.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 9.0
      =================================================================================================
      ",-0.33333333333333337,0.1,0.6666666666666667,12,-0.02777777777777778
1,e5cd53dc-424c-4197-8eb8-ed8861b19e0d,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,bike,200.0,120.0,200.0,Accepted,90.0,"	Buyer: Hi there, I'm interested in the long board you have for sale. Could you tell me more about it?
	Seller: So, you're looking at the long board, right? Can you tell me more about it? What's the brand and what kind of setup did you get?
	Buyer: The brand is Gravity Skateboard, and it's a one-of-a-kind, custom-built long board from the ground up.
	Seller: That's really cool. The Gravity Skateboard is a pretty unique long board. Can you tell me more about the custom build and the setup you got?
	Buyer: That sounds awesome, I love unique boards. The custom build and the setup you got seem really impressive. I'm willing to pay $80, but I think the board is worth at least $100.
	Seller: That sounds like a great board, I can see why you'd want to pay that price. I was thinking more along the lines of $90. It's definitely a high-quality board, and I'm happy to let it go for that price.
","[-1.0, -1.0, -1.0, -1.0, 80.0, 90.0]","['intro', 'inquire', 'offer', 'info', 'offer', 'agree']","
      =================================================================================================
      Negotiation for: <Long board custom bilt from the board up>
      =================================================================================================
      	Buyer: Hi there, I'm interested in the long board you have for sale. Could you tell me more about it?
	Seller: So, you're looking at the long board, right? Can you tell me more about it? What's the brand and what kind of setup did you get?
	Buyer: The brand is Gravity Skateboard, and it's a one-of-a-kind, custom-built long board from the ground up.
	Seller: That's really cool. The Gravity Skateboard is a pretty unique long board. Can you tell me more about the custom build and the setup you got?
	Buyer: That sounds awesome, I love unique boards. The custom build and the setup you got seem really impressive. I'm willing to pay $80, but I think the board is worth at least $100.
	Seller: That sounds like a great board, I can see why you'd want to pay that price. I was thinking more along the lines of $90. It's definitely a high-quality board, and I'm happy to let it go for that price.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 90.0
      =================================================================================================
      ",1.75,0.55,-0.75,6,0.2916666666666667
2,02cfdc52-9530-4ac7-97fa-e4055cd0b6d0,Sectional Couch,I am remodeling my space and selling a beautiful custom modern terra cotta color sectional couch. It is in like-new condition and can be taken apart in two pieces while transporting. Absolutely no wear or tear in a non-smoking home. I am located in the Sunset district of SF. Please email if you are interested in seeing it. Thank you!,furniture,585.0,444.0,585.0,Accepted,475.0,"	Buyer: I'm really interested in the sectional couch. I'd like to discuss the price. Would you be willing to sell it to me for $425?
	Seller: I'm not sure I can go that low. I'm looking to make a good profit on this couch, and $425 doesn't seem too reasonable.
	Buyer: I think $425 is a fair price, considering the couch is in like-new condition and can be taken apart for easy transport. I'm willing to meet you in the middle at $475.
	Seller: I understand your perspective, but I was thinking more along the lines of $450. It's a great deal for a like-new couch, and I'm trying to get a good price to help with my renovation budget.
	Buyer: I can do $500, but that's as low as I'm willing to go.
	Seller: $475 sounds like a fair price to me. I appreciate your willingness to meet me in the middle.
","[425.0, 425.0, 425.0, 450.0, 500.0, 475.0]","['init-price', 'insist', 'counter-price', 'counter-price', 'counter-price', 'agree']","
      =================================================================================================
      Negotiation for: <Sectional Couch>
      =================================================================================================
      	Buyer: I'm really interested in the sectional couch. I'd like to discuss the price. Would you be willing to sell it to me for $425?
	Seller: I'm not sure I can go that low. I'm looking to make a good profit on this couch, and $425 doesn't seem too reasonable.
	Buyer: I think $425 is a fair price, considering the couch is in like-new condition and can be taken apart for easy transport. I'm willing to meet you in the middle at $475.
	Seller: I understand your perspective, but I was thinking more along the lines of $450. It's a great deal for a like-new couch, and I'm trying to get a good price to help with my renovation budget.
	Buyer: I can do $500, but that's as low as I'm willing to go.
	Seller: $475 sounds like a fair price to me. I appreciate your willingness to meet me in the middle.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 475.0
      =================================================================================================
      ",0.5602836879432624,0.18803418803418803,0.43971631205673756,6,0.09338061465721041
3,8ba14ae4-1de2-4551-9959-d95d54141be5,2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title,"Selling my 2006 Toyota 4 Runner with only 106k original miles. The truck is in great condition with no mechanical flaws whatsoever and a clean accident history. Got new tires about 3,000 miles ago. Always has the oil changed on time (due in about 1k). Just got a thorough cleaning inside and a wash and wax outside (still wet in the photos). This truck has never been offroad, but the 4WD is working perfectly from the few times we've been up to Tahoe in it. However, it's a 10+ year old truck that's been driven, not babied and garaged all the time. It's got some scratches, paint is not perfect, but zero body damage.",car,14500.0,8700.0,14500.0,Accepted,14500.0,"	Buyer: Great deal on the 2006 Toyota 4Runner! I've been looking for a reliable 4WD like this. Can you tell me more about its condition and maintenance history?
	Seller: Actually, the 2006 Toyota 4Runner I'm selling is in great condition, with a clean title and no major issues. I've been very meticulous about keeping it maintained, with regular oil changes and new tires about 3,000 miles ago. It's been washed and waxed a few times, and I just had a thorough cleaning inside and a wash and wax outside as you can see in the photos. Although I've driven it mostly on
	Buyer: That sounds like it's well taken care of. Can I see any maintenance records or documentation for the recent tire change?
	Seller: Can you show me the maintenance records, like the oil change receipts or the tire rotation logs?
	Buyer: Can I see the photos of the recent tire change as well, preferably the ones taken before and after the installation?
	Seller: Can you show me the maintenance records, like the oil change receipts or the tire rotation logs?
	Buyer: Can I see the maintenance records, like the oil change receipts or the tire rotation logs? The photos of the recent tire change would also be helpful, preferably the ones taken before and after the installation.
	Seller: I'd like to take a look at the maintenance records, but only if you can show me the oil change receipts and tire rotation logs. That would make it easier for me to verify the maintenance history of the vehicle.
","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","['intro', 'inform', 'inform', 'inquire', 'inquire', 'inquire', 'inquire', 'agree']","
      =================================================================================================
      Negotiation for: <2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title>
      =================================================================================================
      	Buyer: Great deal on the 2006 Toyota 4Runner! I've been looking for a reliable 4WD like this. Can you tell me more about its condition and maintenance history?
	Seller: Actually, the 2006 Toyota 4Runner I'm selling is in great condition, with a clean title and no major issues. I've been very meticulous about keeping it maintained, with regular oil changes and new tires about 3,000 miles ago. It's been washed and waxed a few times, and I just had a thorough cleaning inside and a wash and wax outside as you can see in the photos. Although I've driven it mostly on
	Buyer: That sounds like it's well taken care of. Can I see any maintenance records or documentation for the recent tire change?
	Seller: Can you show me the maintenance records, like the oil change receipts or the tire rotation logs?
	Buyer: Can I see the photos of the recent tire change as well, preferably the ones taken before and after the installation?
	Seller: Can you show me the maintenance records, like the oil change receipts or the tire rotation logs?
	Buyer: Can I see the maintenance records, like the oil change receipts or the tire rotation logs? The photos of the recent tire change would also be helpful, preferably the ones taken before and after the installation.
	Seller: I'd like to take a look at the maintenance records, but only if you can show me the oil change receipts and tire rotation logs. That would make it easier for me to verify the maintenance history of the vehicle.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 14500.0
      =================================================================================================
      ",-1.0,0.0,0.0,8,-0.125
4,cbd117d3-ebb8-4b5d-9817-905e351a2368,Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo,Just bought on craigslist a few months ago. was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.,furniture,125.0,95.0,125.0,Accepted,85.0,"	Buyer: Hi, I'm interested in the Wooden FULL SIZED Futon w/ 2 Slip Covers, it was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.
	Seller: Hey, I'm really interested in the futon. How much are you looking for?
	Buyer: Well, I just bought it a few months ago, so I'm looking to sell it for around $95.
	Seller: I think the lowest I would want to go is $90.
	Buyer: I can do $80, but that's as low as I can go, considering the current market price seems to be around that range.
	Seller: I'll meet you in the middle, I can offer $88.
	Buyer: I can do $85.
	Seller: Okay, deal. I think we can agree on $85.
","[-1.0, -1.0, -1.0, 90.0, 80.0, 88.0, 85.0, 85.0]","['introduce', 'intro', 'inform', 'counter-price', 'offer', 'counter-price', 'offer', 'agree']","
      =================================================================================================
      Negotiation for: <Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo>
      =================================================================================================
      	Buyer: Hi, I'm interested in the Wooden FULL SIZED Futon w/ 2 Slip Covers, it was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.
	Seller: Hey, I'm really interested in the futon. How much are you looking for?
	Buyer: Well, I just bought it a few months ago, so I'm looking to sell it for around $95.
	Seller: I think the lowest I would want to go is $90.
	Buyer: I can do $80, but that's as low as I can go, considering the current market price seems to be around that range.
	Seller: I'll meet you in the middle, I can offer $88.
	Buyer: I can do $85.
	Seller: Okay, deal. I think we can agree on $85.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 85.0
      =================================================================================================
      ",1.6666666666666665,0.32,-0.6666666666666667,8,0.20833333333333331
5,15a0be73-0d95-4adb-9231-b3e0e0a687b3,Brand NEW SanDisk ULTRA MicroSDXC 200GB,"I have a brand new unopened microSD card. Great for Android users, Nintendo Switch, 3DS and GoPro cameras, and beyond.",electronics,75.0,69.0,75.0,Accepted,67.2,"	Buyer: Hi, I'm interested in purchasing this Brand NEW SanDisk ULTRA MicroSDXC 200GB. The listing price is $75.00, and my target price is around $69.00.
	Seller: That's a great deal. However, I'm a bit old, and I've been looking for this kind of microSD card for a while. Can I get $70?
	Buyer: I really appreciate your willingness to negotiate, but I was thinking more along the lines of $65.
	Seller: I understand your willingness to negotiate, but I was thinking more along the lines of $70.
	Buyer: I can consider going down to $68, but that's as low as I can go considering my target price is around $69.
	Seller: I think
	Buyer: I can do $67.
	Seller: I think the lowest I would want to go is $68.
	Buyer: I can meet you at $66.
	Seller: I understand your willingness to negotiate, but I've priced it correctly at $68, and I think that's the lowest I can go considering the condition of the microSD card.
	Buyer: I can do $66, but I'm willing to throw in some extra protection for the purchase, could we meet at $66.40?
	Seller: I'll meet you at $67.20.
","[-1.0, -1.0, 65.0, 70.0, 68.0, 80.0, 67.0, 68.0, 66.0, 68.0, 66.0, 67.2]","['inform', 'inform', 'counter-price', 'counter-price', 'counter-price', 'counter-price', 'offer', 'counter-price', 'counter-price', 'counter-price', 'offer', 'agree']","
      =================================================================================================
      Negotiation for: <Brand NEW SanDisk ULTRA MicroSDXC 200GB>
      =================================================================================================
      	Buyer: Hi, I'm interested in purchasing this Brand NEW SanDisk ULTRA MicroSDXC 200GB. The listing price is $75.00, and my target price is around $69.00.
	Seller: That's a great deal. However, I'm a bit old, and I've been looking for this kind of microSD card for a while. Can I get $70?
	Buyer: I really appreciate your willingness to negotiate, but I was thinking more along the lines of $65.
	Seller: I understand your willingness to negotiate, but I was thinking more along the lines of $70.
	Buyer: I can consider going down to $68, but that's as low as I can go considering my target price is around $69.
	Seller: I think
	Buyer: I can do $67.
	Seller: I think the lowest I would want to go is $68.
	Buyer: I can meet you at $66.
	Seller: I understand your willingness to negotiate, but I've priced it correctly at $68, and I think that's the lowest I can go considering the condition of the microSD card.
	Buyer: I can do $66, but I'm willing to throw in some extra protection for the purchase, could we meet at $66.40?
	Seller: I'll meet you at $67.20.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 67.2
      =================================================================================================
      ",1.5999999999999992,0.10399999999999997,-0.599999999999999,12,0.13333333333333328
6,69a2d2b0-e339-45bc-8e00-9ff69db0d124,Bose Soundlink 3 brand new,"Brand new never use, i got it has a gift but i am using sonos system.",electronics,220.0,132.0,220.0,Accepted,220.0,"	Buyer: I'm really interested in the Bose Soundlink 3, can you tell me more about it?
	Seller: Great, I'd be happy to tell you more about it. It's a brand new Bose Soundlink 3, which is great value for its price. It's a portable Bluetooth speaker that can connect to your smartphone or tablet and play high-quality audio. It also has a long-lasting battery life of up to 12 hours. Plus, it's very durable and comes with a carrying case.
	Buyer: That sounds great, but can you tell me more about the price and if there's any room for negotiation, as my budget is a bit tighter than I thought?
	Seller: The price of the Bose Soundlink 3 is $220, which is its listing price. As for a negotiation, I would say that the price is a bit too high for me.
	Buyer: I see, that's a good balance of quality and price. Can you tell me more about why you think the price is a bit too high, and if you have any wiggle room?
	Seller: Yes, I can understand why you might think that $220 is a bit high, considering it's a brand new model. I can definitely see why you'd want to get a good deal, but I think it's worth paying a bit more for the quality and brand reputation that Bose offers. Would you be willing to discuss a price reduction?
","[-1.0, -1.0, -1.0, -1.0, -1.0, 220.0]","['intro', 'inform', 'inform', 'inform', 'inquire', 'agree']","
      =================================================================================================
      Negotiation for: <Bose Soundlink 3 brand new>
      =================================================================================================
      	Buyer: I'm really interested in the Bose Soundlink 3, can you tell me more about it?
	Seller: Great, I'd be happy to tell you more about it. It's a brand new Bose Soundlink 3, which is great value for its price. It's a portable Bluetooth speaker that can connect to your smartphone or tablet and play high-quality audio. It also has a long-lasting battery life of up to 12 hours. Plus, it's very durable and comes with a carrying case.
	Buyer: That sounds great, but can you tell me more about the price and if there's any room for negotiation, as my budget is a bit tighter than I thought?
	Seller: The price of the Bose Soundlink 3 is $220, which is its listing price. As for a negotiation, I would say that the price is a bit too high for me.
	Buyer: I see, that's a good balance of quality and price. Can you tell me more about why you think the price is a bit too high, and if you have any wiggle room?
	Seller: Yes, I can understand why you might think that $220 is a bit high, considering it's a brand new model. I can definitely see why you'd want to get a good deal, but I think it's worth paying a bit more for the quality and brand reputation that Bose offers. Would you be willing to discuss a price reduction?
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 220.0
      =================================================================================================
      ",-1.0,0.0,0.0,6,-0.16666666666666666
7,ff3d27d6-5a0d-4908-9df4-ecf8b2b279aa,Apple iPhone 5S 16gb Space Gray,"Apple iPhone 5S 16gb Space Gray,Like New Condition (no scratches anywhere),Will be reset to factory specs before sale",phone,160.0,121.0,160.0,Accepted,160.0,"	Buyer: I'm really interested in the Apple iPhone 5S 16gb Space Gray, can you tell me a bit about it and what you're looking for in a sale?
	Seller: Hi, the Apple iPhone 5S 16gb Space Gray is a great device, but I'm actually looking for a phone that's slightly older and has some minor cosmetic damage. Can you tell me a bit more about what you're looking for in a sale?
	Buyer: That sounds like a good deal on a slightly older model; however, since I'm interested in the 16gb space gray model you have, could you tell me more about its condition and whether it's been reset to factory specs?
	Seller: The 16gb Space Gray model I have for sale is a bit older, but it's been thoroughly inspected and is in great condition. It's been reset to factory specs, so you can be sure you're getting a clean device.
	Buyer: That sounds great, I'd like to take a closer look at the phone and see if it's the one I'm looking for.
","[-1.0, -1.0, -1.0, -1.0, -1.0]","['init-price', 'inform', 'inform', 'inform', 'agree']","
      =================================================================================================
      Negotiation for: <Apple iPhone 5S 16gb Space Gray>
      =================================================================================================
      	Buyer: I'm really interested in the Apple iPhone 5S 16gb Space Gray, can you tell me a bit about it and what you're looking for in a sale?
	Seller: Hi, the Apple iPhone 5S 16gb Space Gray is a great device, but I'm actually looking for a phone that's slightly older and has some minor cosmetic damage. Can you tell me a bit more about what you're looking for in a sale?
	Buyer: That sounds like a good deal on a slightly older model; however, since I'm interested in the 16gb space gray model you have, could you tell me more about its condition and whether it's been reset to factory specs?
	Seller: The 16gb Space Gray model I have for sale is a bit older, but it's been thoroughly inspected and is in great condition. It's been reset to factory specs, so you can be sure you're getting a clean device.
	Buyer: That sounds great, I'd like to take a closer look at the phone and see if it's the one I'm looking for.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 160.0
      =================================================================================================
      ",-1.0,0.0,0.0,5,-0.2
8,8d7a36d0-3926-4ef7-be9d-b1dbee2b2d15,Steel Frame Colnago,Rare and classic 62cm Steel Frame Colnago!! It's made and designed for the tall/ large man. Campanella components. Saddle is on my Cannondale. It was turned up about 25 miles of riding ago.,bike,600.0,456.0,600.0,Accepted,390.0,"	Buyer: I'm really interested in the Steel Frame Colnago. I was thinking more along the lines of $450.
	Seller: I really need to sell this, and I'm willing to make a deal. It's a high-quality bike, and I'm not willing to let it go for $450.
	Buyer: I still think $450 is a bit high for a bike that's been ridden 25 miles ago, considering its condition. I'm willing to meet you in the middle at $420.
	Seller: I understand you're trying to make a deal, but to be honest, I was thinking more along the lines of $390. It's a great bike, and I'm not looking to make a profit on it.
	Buyer: I can see that we're not too far apart, but I think $420 is still a bit high considering its condition. Would you be willing to meet me at $390?
	Seller: I'm willing to meet in the middle, but I still think $420 is a bit too high. If you're willing to go down to $395, I'll think about it.
	Buyer: I can do $390, but I'll throw in some minor adjustments to get you closer to your asking price.
	Seller: I still think $420 is a bit too high, considering its condition. I'll meet
	Buyer: Eh, fine. $390 it is, and I'll throw in some minor adjustments to get you closer to your asking price.
","[450.0, 450.0, 450.0, 390.0, 420.0, 420.0, 390.0, -1.0, 390.0]","['init-price', 'insist', 'offer', 'counter-price', 'counter-price', 'counter-price', 'offer', 'disagree', 'accept']","
      =================================================================================================
      Negotiation for: <Steel Frame Colnago>
      =================================================================================================
      	Buyer: I'm really interested in the Steel Frame Colnago. I was thinking more along the lines of $450.
	Seller: I really need to sell this, and I'm willing to make a deal. It's a high-quality bike, and I'm not willing to let it go for $450.
	Buyer: I still think $450 is a bit high for a bike that's been ridden 25 miles ago, considering its condition. I'm willing to meet you in the middle at $420.
	Seller: I understand you're trying to make a deal, but to be honest, I was thinking more along the lines of $390. It's a great bike, and I'm not looking to make a profit on it.
	Buyer: I can see that we're not too far apart, but I think $420 is still a bit high considering its condition. Would you be willing to meet me at $390?
	Seller: I'm willing to meet in the middle, but I still think $420 is a bit too high. If you're willing to go down to $395, I'll think about it.
	Buyer: I can do $390, but I'll throw in some minor adjustments to get you closer to your asking price.
	Seller: I still think $420 is a bit too high, considering its condition. I'll meet
	Buyer: Eh, fine. $390 it is, and I'll throw in some minor adjustments to get you closer to your asking price.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 390.0
      =================================================================================================
      ",1.9166666666666665,0.35,-0.9166666666666667,9,0.21296296296296294
9,28281abc-4e98-4748-bab4-1e095d8d68bf,Beautiful 1 Bedroom Home with Balcony Available Mid June!,"Essex Property Trust,EMME Apartment Homes,6350 Christie Ave, Emeryville, CA 94608,We will have a 1 bedroom 1 bath 643 sq ft apartment #130 available on June 10th! Your beautiful new kitchen will have Cesar stone countertops, dark cherry wood on the cabinets and stainless steel appliances!,All of emme apartments come with a full size front load washer & dryer! Emme offers amenities such as our 24 hour gym, courtyard, clubhouse and our beautiful roof top deck, a must see with a great view of San Francisco! Living at emme makes life a bit easier with having everything you need right around the corner, from grocery stores to retail! Not to mention, transportation!,Emeryville provides us a free shuttle that picks you up right in front of the community and takes you straight to bart!,Schedule your appointment today!!,Stop by our 2 bedroom home OPEN HOUSE this Saturday, May 20th from 10:00 AM - 12:00 PM!",housing,2834.0,1700.0,2834.0,Accepted,2834.0,"	Buyer: Just to make sure I understand, the listing_price of the apartment is $2834.
	Seller: Sounds good. I'll accept the current offer of $2834.
","[-1.0, 2834.0]","['inform', 'agree']","
      =================================================================================================
      Negotiation for: <Beautiful 1 Bedroom Home with Balcony Available Mid June!>
      =================================================================================================
      	Buyer: Just to make sure I understand, the listing_price of the apartment is $2834.
	Seller: Sounds good. I'll accept the current offer of $2834.
      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      Outcome: Accepted
      Agreed Price: 2834.0
      =================================================================================================
      ",-1.0,0.0,0.0,2,-0.5
